파일명,캐릭터,스테이지,일본어 대사,한국어 번역
hana_stage1_001,하나,Stage1 - 첫 만남,あっ！もしかして韓国から来た交換留学生？！,앗! 너 혹시 한국에서 온 교환학생?!
hana_stage1_002,하나,Stage1 - 첫 만남,わあ～本当だ！私、韓国ドラマめっちゃ好きなんだよ！,와아~ 진짜다! 나 한국 드라마 엄청 좋아하거든!
hana_stage1_003,하나,Stage1 - 자기소개,あ、自己紹介遅れちゃった！私ははなだよ！花って書いてはな！,아 자기소개가 늦었다! 나는 하나야! 꽃 花 써서 하나!
hana_stage1_004,하나,Stage1 - 이름 물어보기,あなたも名前教えて～なんて呼べばいい？,너도 이름 알려줘~ 뭐라고 불러?
hana_stage1_005,하나,Stage1 - 정답 반응,おお～！日本語できるんだ！発音もめっちゃ可愛い...！,오오~! 일본어 할 줄 아는구나! 발음도 진짜 귀여워...!
hana_stage1_006,하나,Stage1 - 오답 반응,えへへ、それは違うよ～初めて会った時は「はじめまして」だよ！,에헤헤 그건 아닌데~ 처음 만났을 땐 "はじめまして"야!
hana_stage1_007,하나,Stage1 - 학교 안내 제안,ねえねえ～私が学校案内してあげようか？二人で！,있잖아~ 내가 학교 안내해줄까? 둘이서!
hana_stage1_008,하나,Stage1 - 함께할래?,どう？私と一緒に回ってみる？,어때? 나랑 같이 돌아볼래?
hana_stage1_009,하나,Stage1 - 좋아 반응,やったー！じゃあ출발！手...繋いでもいい？迷子になったら大変だから！,야호~! 그럼 출발이다! 손... 잡아도 돼? 길 잃으면 안 되니까!
hana_stage1_010,하나,Stage1 - 싫어 반응,ええ...？嫌...？私と一緒にいるの...,에엥...? 싫어...? 나랑 같이 다니는 거...
hana_stage1_011,하나,Stage1 - 학교 소개,ここが私たちの教室で～あそこに見えるのが図書館だよ！,여기가 우리 교실이고~ 저기 보이는 게 도서관이야!
hana_stage1_012,하나,Stage1 - 퀴즈,あ、そうだ！クイズ～図書館は日本語で何でしょう？,아 맞다! 퀴즈~ 도서관은 일본어로 뭘까?
hana_stage1_013,하나,Stage1 - 정답,ピンポーン！正解！やっぱり頭いい～！頭撫でてあげようか？,딩동댕~! 정답! 역시 똑똒하다~! 머리 쓰다듬어줄까?
hana_stage1_014,하나,Stage1 - 오답,残念～「としょかん」だよ！次は当ててね～,아쉬워~ "としょかん"이야! 다음엔 맞춰봐~
hana_stage1_015,하나,Stage1 - 도시락,じゃじゃ～私、今日のお弁当めっちゃ美味しく作ってきたんだ！,자자~ 나 오늘 도시락 엄청 맛있게 싸왔거든!
hana_stage1_016,하나,Stage1 - 같이 먹자,一緒に食べよ！ここ座って～私の隣！,같이 먹자! 여기 앉아~ 내 옆자리!
hana_stage1_017,하나,Stage1 - 고마워 반응,えへへ～美味しい？私が作ったんだよ！...嘘、お母さんが作った。,에헤헤~ 맛있어? 내가 직접 만든 거야! ...거짓말 엄마가 만들었어.
hana_stage1_018,하나,Stage1 - 고마워 가르치기,嬉しい時は「ありがとう」だよ～さあ、言ってみて！,고마울 땐 "ありがとう"야~ 자 따라해봐!
hana_stage1_019,하나,Stage1 - 수업 시작,あっ、次の授業始まる！早く教室行こう！,앗 다음 수업 시작이다! 빨리 교실 가자!
hana_stage1_020,하나,Stage1 - 당황,手...！あ、ううん何でもない早く行こうってこと！,손...! 아 아니 그냥 빨리 가자는 거야!
hana_stage1_021,하나,Stage1 - 빨리 정답,おお！そうそう！「はやく」！さあ、はやく はやく～！,오오! 맞아맞아! "はやく"! 자 はやく はやく~!
hana_stage1_022,하나,Stage1 - 빨리 오답,「はやく」が早くだよ！さあ、はやく～！,"はやく"가 빨리야! 자 はやく~!
hana_stage1_023,하나,Stage1 - 방과 후,ねえ...今日、本当に楽しかった。,있잖아... 오늘 진짜 재밌었어.
hana_stage1_024,하나,Stage1 - 고백,あなたと一緒にいたら学校に来てよかったって思う...,너랑 같이 있으니까 학교 오길 잘했다고 생각해...
hana_stage1_025,하나,Stage1 - 즐거웠어 정답,...！本当？！えへへ...私だけじゃなかったんだ...,...! 진짜?! 에헤헤... 나만 그런 게 아니었구나...
hana_stage1_026,하나,Stage1 - 즐거웠어 오답,えへへ...「わたしも楽しかった」は私も楽しかったって意味だよ！,에헤헤... "わたしも楽しかった"는 나도 즐거웠다는 뜻이야!
hana_stage1_027,하나,Stage1 - 내일 제안,そ、それでね...！私たち明日も一緒にお昼食べない？,그 그래서 말인데...! 우리 내일도 같이 점심 먹을래?
hana_stage1_028,하나,Stage1 - 매일,あ、ううん毎日！毎日一緒に食べよう...！,아 아니 매일! 매일 같이 먹자...!
