파일명,캐릭터,스테이지,일본어 대사,한국어 번역
hinata_stage3_001,히나타,Stage3 - 첫 만남,...あ、お客さん？何ぼーっと立ってんの。,...어 손님? 뭐 멍하니 서있어.
hinata_stage3_002,히나타,Stage3 - 주문,注文するのしないの？忙しいんだけど。,주문할 거야 말 거야? 바쁘거든.
hinata_stage3_003,히나타,Stage3 - 일본어,...何その顔。日本語分かんないの？,...뭐야 그 표정. 일본어 못 알아들어?
hinata_stage3_004,히나타,Stage3 - 정답 반응,...へえ、分かるんだ。結構やるじゃん。(少し驚いた顔),...헐 알아들어? 좀 하네. (살짝 놀란 표정)
hinata_stage3_005,히나타,Stage3 - 오답 반응,...注文決まったかって。これも分かんないと困るんだけど？,...주문 정했냐고. 이것도 모르면 곤란한데?
hinata_stage3_006,히나타,Stage3 - 추천,で？何飲むの。おすすめはアメリカーノ。,그래서? 뭐 마실 건데. 추천은 아메리카노.
hinata_stage3_007,히나타,Stage3 - 마지,...何そんな見てんの？美味しいんだから、マジで。,...왜 그렇게 봐? 맛있거든 マジで.
hinata_stage3_008,히나타,Stage3 - 구어체,...お、口語体も分かるの？どこで覚えたの？,...오 구어체도 알아? 어디서 배운 거야?
hinata_stage3_009,히나타,Stage3 - 마지 설명,「マジで」は本当にって意味。若い子よく使うから。,"マジで"는 진짜로야. 젊은 애들 많이 쓰거든.
hinata_stage3_010,히나타,Stage3 - 주문 확인,...で、アメリカーノにする？しない？,...그래서 아메리카노 줄까 말까?
hinata_stage3_011,히나타,Stage3 - 순순히,...ふっ、素直に聞くんだ。ちょっと意外。(コーヒー作りながら),...훗 순순히 듣네. 좀 의외다. (커피 만들며)
hinata_stage3_012,히나타,Stage3 - 삐침,...何、嫌なの？美味しいって言ってるのに。(少し拗ねた顔),...뭐야 싫어? 맛있다니까. (살짝 삐친 표정)
hinata_stage3_013,히나타,Stage3 - 자기소개,...私ひなた。ここのバイト。ってか何で一人で来たの？,...나 히나타. 여기 알바야. 근데 왜 혼자 왔어?
hinata_stage3_014,히나타,Stage3 - 교환학생,...あ、韓国から来た交換留学生？聞いたことある。,...아 한국에서 온 교환학생? 들은 적 있어.
hinata_stage3_015,히나타,Stage3 - 외로움,...ふん、一人でカフェ来るとか寂しいんじゃないの？(からかうように),...흥 혼자 카페 오는 거 보니까 외로운 거 아냐? (비웃듯이)
hinata_stage3_016,히나타,Stage3 - 반격 당황,...っ？！わ、私は仕事してるんだから？！(動揺),...ㅎ?! 나 나는 일하는 거거든?! (당황)
hinata_stage3_017,히나타,Stage3 - 재미없어,...何、素直に認めるんだ。ちょっとつまんないじゃん。,...뭐야 순순히 인정하네. 좀 재미없잖아.
hinata_stage3_018,히나타,Stage3 - 환영 인사,いらっしゃいませ～(急に明るい声),いらっしゃいませ~ (갑자기 밝은 목소리)
