파일명,캐릭터,스테이지,일본어 대사,한국어 번역
misaki_stage2_001,미사키,Stage2 - 첫 만남,...もしかして、何か探していますか？,...혹시 뭔가 찾고 있나요?
misaki_stage2_002,미사키,Stage2 - 첫 만남,あ...そのアクセント、韓国から来た方ですね。,아... 그 억양 한국에서 오신 분이군요.
misaki_stage2_003,미사키,Stage2 - 자기소개,私は美咲といいます。この本屋によく来るんです。,저는 미사키라고 해요. 이 서점에 자주 와요.
misaki_stage2_004,미사키,Stage2 - 도움 제안,...お手伝いが必要でしたら、私がお手伝いしましょうか？,...도움이 필요하시면 제가 도와드릴까요?
misaki_stage2_005,미사키,Stage2 - 정답 반응,...はい、喜んで。丁寧に話しますね。気に入りました。,...네 기꺼이요. 정중하게 말씀하시네요. 마음에 들어요.
misaki_stage2_006,미사키,Stage2 - 오답 반응,...初めて会った方には「お願いします」がいいですよ。,...처음 만난 분께는 "お願いします"가 좋아요.
misaki_stage2_007,미사키,Stage2 - 책 추천,この本はどうですか？私も韓国語を勉強する時、似た本で始めました。,이 책은 어떨까요? 저도 한국어 공부할 때 비슷한 책으로 시작했어요.
misaki_stage2_008,미사키,Stage2 - 한국어 독학,...韓国語を少しできます。本で独学したんです。,...한국어를 조금 할 수 있어요. 책으로 독학했거든요.
misaki_stage2_009,미사키,Stage2 - 칭찬 반응,...そう言ってもらえると嬉しいです。ありがとうございます。,...그런 말씀 들으니 기쁘네요. 감사합니다.
misaki_stage2_010,미사키,Stage2 - 칭찬 가르치기,...褒める時は「すごいですね」と言います。,...칭찬할 때는 "すごいですね"라고 해요.
misaki_stage2_011,미사키,Stage2 - 찻집 제안,...あのですね、この近くに私がよく行くお茶屋さんがあるんです。,...있잖아요 이 근처에 제가 자주 가는 찻집이 있어요.
misaki_stage2_012,미사키,Stage2 - 더 이야기하기,そこでお茶を飲みながら...もっとお話できますか？,거기서 차 마시면서... 더 이야기할 수 있을까요?
misaki_stage2_013,미사키,Stage2 - 사과,...あ、急にこんなこと言ったら変ですよね？すみません...,...아 갑자기 이런 말 하면 이상하죠? 죄송해요...
misaki_stage2_014,미사키,Stage2 - 가자 반응,...！本当ですか？よかった...実は少し緊張してました。,...! 정말요? 다행이에요... 사실 좀 긴장했어요.
misaki_stage2_015,미사키,Stage2 - ~たい 설명,「～たい」をつけると「～したい」になります。覚えておいてください。,"~たい"를 붙이면 "~하고 싶다"가 돼요. 기억해두세요.
misaki_stage2_016,미사키,Stage2 - 말차 추천,ここの抹茶が美味しいんです。召し上がってみますか？,여기 말차가 맛있어요. 드셔보실래요?
